Datum,Celkový počet,Tržba
2024-01-01,19,660.0
2024-01-02,55,3205.0
2024-01-03,49,2500.0
2024-01-04,42,2500.0
2024-01-05,53,3310.0
2024-01-06,54,2772.0
2024-01-07,38,1810.0
2024-01-08,31,1300.0
2024-01-09,68,4566.0
2024-01-10,64,3875.0
2024-01-11,43,2110.0
2024-01-12,50,2752.0
2024-01-13,40,2520.0
2024-01-14,44,2360.0
2024-01-15,50,3170.0
2024-01-16,65,3974.0
2024-01-17,55,4026.0
2024-01-18,52,3326.0
2024-01-19,40,1810.0
2024-01-20,59,3604.0
2024-01-21,39,2403.0
2024-01-22,46,3190.0
2024-01-23,59,3151.0
2024-01-24,57,3543.0
2024-01-25,52,3433.0
2024-01-26,39,2729.0
2024-01-27,34,1849.0
2024-01-28,57,3201.0
2024-01-29,52,2636.0
2024-01-30,64,4243.0
2024-01-31,57,3669.0
2024-02-01,47,2361.0
2024-02-02,52,2569.0
2024-02-03,45,2818.0
2024-02-04,51,2805.0
2024-02-05,47,3151.0
2024-02-06,53,3548.0
2024-02-07,63,3168.0
2024-02-08,49,2783.0
2024-02-09,46,2377.0
2024-02-10,26,1616.0
2024-02-11,49,2678.0
2024-02-12,49,2384.0
2024-02-13,64,3788.0
2024-02-14,41,1970.0
2024-02-15,59,4110.0
2024-02-16,50,2631.0
2024-02-17,45,2531.0
2024-02-18,41,2616.0
2024-02-19,41,1748.0
2024-02-20,57,3179.0
2024-02-21,62,3548.0
2024-02-22,55,3016.0
2024-02-23,46,2071.0
2024-02-24,30,2022.0
2024-02-25,42,2337.0
2024-02-26,56,3545.0
2024-02-27,68,4188.0
2024-02-28,65,3499.0
2024-02-29,48,2827.0
2024-03-01,48,2127.0
2024-03-02,41,2302.0
2024-03-03,26,923.0
2024-03-04,30,1740.0
2024-03-05,53,2807.0
2024-03-06,49,2785.0
2024-03-07,48,2618.0
2024-03-08,49,2914.0
2024-03-09,24,1615.0
2024-03-10,24,1267.0
2024-03-11,37,1385.0
2024-03-12,63,3919.0
2024-03-13,48,2251.0
2024-03-14,45,2871.0
2024-03-15,41,2122.0
2024-03-16,32,1803.0
2024-03-17,33,1727.0
2024-03-18,43,1839.0
2024-03-19,48,2704.0
2024-03-20,58,3073.0
2024-03-21,54,3938.0
2024-03-22,41,2134.0
2024-03-23,45,3238.0
2024-03-24,41,1947.0
2024-03-25,47,2108.0
2024-03-26,53,3257.0
2024-03-27,44,2416.0
2024-03-28,47,2924.0
2024-03-29,45,2785.0
2024-03-30,28,1703.0
2024-03-31,30,1507.0
2024-04-01,16,476.0
2024-04-02,50,3098.0
2024-04-03,59,3471.0
2024-04-04,44,2621.0
2024-04-05,48,2494.0
2024-04-06,29,1909.0
2024-04-07,30,1466.0
2024-04-08,36,1953.0
2024-04-09,51,3035.0
2024-04-10,46,2680.0
2024-04-11,42,2633.0
2024-04-12,28,1252.0
2024-04-13,19,1195.0
2024-04-14,25,1428.0
2024-04-15,37,1907.0
2024-04-16,37,1585.0
2024-04-17,41,2261.0
2024-04-18,43,2665.0
2024-04-19,48,2398.0
2024-04-20,36,1823.0
2024-04-21,29,1159.0
2024-04-22,43,1745.0
2024-04-23,55,2640.0
2024-04-24,45,2551.0
2024-04-25,50,2970.0
2024-04-26,35,1477.0
2024-04-27,29,1768.0
2024-04-28,24,1658.0
2024-04-29,46,2696.0
2024-04-30,39,1973.0
2024-05-01,31,1395.0
2024-05-02,56,3712.0
2024-05-03,43,2136.0
2024-05-04,32,1850.0
2024-05-05,31,1608.0
2024-05-06,41,2081.0
2024-05-07,66,4145.0
2024-05-08,36,1763.0
2024-05-09,38,2387.0
2024-05-10,52,2853.0
2024-05-11,22,1493.0
2024-05-12,18,1242.0
2024-05-13,30,1106.0
2024-05-14,48,2327.0
2024-05-15,49,2529.0
2024-05-16,38,2668.0
2024-05-17,41,2017.0
2024-05-18,32,2057.0
2024-05-19,29,1574.0
2024-05-20,32,1581.0
2024-05-21,46,2453.0
2024-05-22,48,2668.0
2024-05-23,35,2525.0
2024-05-24,28,1093.0
2024-05-25,21,1443.0
2024-05-26,20,1044.0
2024-05-27,36,1884.0
2024-05-28,63,4134.0
2024-05-29,40,2156.0
2024-05-30,39,2285.0
2024-05-31,42,2494.0
2024-06-01,33,2213.0
2024-06-02,40,2003.0
2024-06-03,45,2521.0
2024-06-04,57,3884.0
2024-06-05,35,1256.0
2024-06-06,35,2105.0
2024-06-07,38,1784.0
