Datum,Celkový počet,Tržba
2023-09-07,,
2023-09-08,1,120.0
2023-09-09,,
2023-09-10,1,144.0
2023-09-11,1,144.0
2023-09-12,1,144.0
2023-09-13,1,180.0
2023-09-14,1,180.0
2023-09-15,3,396.0
2023-09-16,,
2023-09-17,,
2023-09-18,1,192.0
2023-09-19,2,360.0
2023-09-20,3,444.0
2023-09-21,1,156.0
2023-09-22,1,180.0
2023-09-23,,
2023-09-24,2,336.0
2023-09-25,,
2023-09-26,2,348.0
2023-09-27,,
2023-09-28,,
2023-09-29,2,288.0
2023-09-30,3,492.0
2023-10-01,2,264.0
2023-10-02,2,396.0
2023-10-03,3,540.0
2023-10-04,2,324.0
2023-10-05,1,180.0
2023-10-06,,
2023-10-07,1,180.0
2023-10-08,3,540.0
2023-10-09,,
2023-10-10,2,324.0
2023-10-11,,
2023-10-12,5,828.0
2023-10-13,3,540.0
2023-10-14,2,300.0
2023-10-15,2,444.0
2023-10-16,3,384.0
2023-10-17,4,660.0
2023-10-18,1,144.0
2023-10-19,4,636.0
2023-10-20,4,516.0
2023-10-21,2,240.0
2023-10-22,,
2023-10-23,1,96.0
2023-10-24,1,96.0
2023-10-25,3,384.0
2023-10-26,2,240.0
2023-10-27,2,372.0
2023-10-28,1,144.0
2023-10-29,1,240.0
2023-10-30,2,300.0
2023-10-31,1,180.0
2023-11-01,2,240.0
2023-11-02,6,648.0
2023-11-03,1,180.0
2023-11-04,1,180.0
2023-11-05,4,648.0
2023-11-06,1,90.0
2023-11-07,2,288.0
2023-11-08,2,300.0
2023-11-09,6,936.0
2023-11-10,3,450.0
2023-11-11,2,306.0
2023-11-12,2,306.0
2023-11-13,2,240.0
2023-11-14,6,1044.0
2023-11-15,2,192.0
2023-11-16,4,498.0
2023-11-17,1,120.0
2023-11-18,2,336.0
2023-11-19,2,324.0
2023-11-20,4,426.0
2023-11-21,2,264.0
2023-11-22,7,1308.0
2023-11-23,2,324.0
2023-11-24,6,792.0
2023-11-25,1,60.0
2023-11-26,5,588.0
2023-11-27,5,792.0
2023-11-28,4,696.0
2023-11-29,4,756.0
2023-11-30,4,498.0
2023-12-01,2,276.0
2023-12-02,,
2023-12-03,2,336.0
2023-12-04,1,252.0
2023-12-05,10,1422.0
2023-12-06,3,564.0
2023-12-07,1,240.0
2023-12-08,3,522.0
2023-12-09,4,384.0
2023-12-10,9,1176.0
2023-12-11,5,768.0
2023-12-12,5,864.0
2023-12-13,5,912.0
2023-12-14,3,390.0
2023-12-15,5,1164.0
2023-12-16,1,120.0
2023-12-17,2,264.0
2023-12-18,4,360.0
2023-12-19,6,1170.0
2023-12-20,2,600.0
2023-12-21,2,348.0
2023-12-22,3,420.0
2023-12-23,4,474.0
2023-12-24,,
2023-12-25,,
2023-12-26,1,120.0
2023-12-27,3,564.0
2023-12-28,6,960.0
2023-12-29,4,720.0
2023-12-30,3,540.0
2023-12-31,3,804.0
