Datum,Celkový počet,Tržba
2024-09-06,3,384.0
2024-09-07,,
2024-09-08,,
2024-09-09,1,180.0
2024-09-10,3,330.0
2024-09-11,4,480.0
2024-09-12,3,396.0
2024-09-13,5,738.0
2024-09-14,6,852.0
2024-09-15,1,90.0
2024-09-16,3,366.0
2024-09-17,4,660.0
2024-09-18,,
2024-09-19,2,300.0
2024-09-20,4,570.0
2024-09-21,1,90.0
2024-09-22,3,360.0
2024-09-23,2,420.0
2024-09-24,1,72.0
2024-09-25,3,258.0
2024-09-26,4,672.0
2024-09-27,2,264.0
2024-09-28,2,240.0
2024-09-29,2,300.0
2024-09-30,2,300.0
2024-10-01,7,936.0
2024-10-02,3,432.0
2024-10-03,2,234.0
2024-10-04,4,510.0
2024-10-05,,
2024-10-06,6,744.0
2024-10-07,2,216.0
2024-10-08,2,360.0
2024-10-09,2,360.0
2024-10-10,4,576.0
2024-10-11,6,996.0
2024-10-12,3,540.0
2024-10-13,5,630.0
2024-10-14,2,252.0
2024-10-15,2,360.0
2024-10-16,6,696.0
2024-10-17,8,966.0
2024-10-18,5,828.0
2024-10-19,2,300.0
2024-10-20,,
2024-10-21,4,420.0
2024-10-22,7,846.0
2024-10-23,3,516.0
2024-10-24,4,570.0
2024-10-25,4,624.0
2024-10-26,,
2024-10-27,6,726.0
2024-10-28,2,324.0
2024-10-29,1,144.0
2024-10-30,5,654.0
2024-10-31,1,180.0
2024-11-01,5,996.0
2024-11-02,6,846.0
2024-11-03,3,444.0
2024-11-04,2,222.0
2024-11-05,5,612.0
2024-11-06,6,984.0
2024-11-07,5,900.0
2024-11-08,6,912.0
2024-11-09,4,540.0
2024-11-10,2,234.0
2024-11-11,4,690.0
2024-11-12,2,336.0
2024-11-13,1,48.0
2024-11-14,4,396.0
2024-11-15,1,240.0
2024-11-16,2,420.0
2024-11-17,3,444.0
2024-11-18,4,744.0
2024-11-19,4,690.0
2024-11-20,5,510.0
2024-11-21,2,228.0
2024-11-22,5,486.0
2024-11-23,1,108.0
2024-11-24,3,504.0
2024-11-25,6,744.0
2024-11-26,5,660.0
2024-11-27,2,360.0
2024-11-28,2,270.0
2024-11-29,6,600.0
2024-11-30,3,480.0
2024-12-01,3,432.0
2024-12-02,6,918.0
2024-12-03,3,450.0
2024-12-04,6,1008.0
2024-12-05,5,744.0
2024-12-06,3,372.0
2024-12-07,3,324.0
2024-12-08,3,444.0
2024-12-09,4,660.0
2024-12-10,2,186.0
2024-12-11,2,360.0
2024-12-12,4,624.0
2024-12-13,2,252.0
2024-12-14,1,120.0
2024-12-15,1,120.0
2024-12-16,5,630.0
2024-12-17,4,732.0
2024-12-18,,
2024-12-19,4,816.0
2024-12-20,1,216.0
2024-12-21,1,90.0
2024-12-22,2,372.0
2024-12-23,4,534.0
2024-12-24,,
2024-12-25,,
2024-12-26,,
2024-12-27,4,624.0
2024-12-28,4,624.0
2024-12-29,5,726.0
2024-12-30,2,420.0
