Datum,Celkový počet,Tržba
2025-01-01,9,611.0
2025-01-02,34,3744.0
2025-01-03,68,6885.0
2025-01-04,40,4412.0
2025-01-05,38,3770.0
2025-01-06,30,2689.0
2025-01-07,35,3511.0
2025-01-08,34,3111.0
2025-01-09,49,5772.0
2025-01-10,43,3800.0
2025-01-11,30,3524.0
2025-01-12,63,6361.0
2025-01-13,26,2404.0
2025-01-14,33,3492.0
2025-01-15,26,1901.0
2025-01-16,57,6191.0
2025-01-17,43,4150.0
2025-01-18,37,4056.0
2025-01-19,66,6071.0
2025-01-20,40,3478.0
2025-01-21,38,3388.0
2025-01-22,24,2031.0
2025-01-23,50,5760.0
2025-01-24,51,5396.0
2025-01-25,37,4172.0
2025-01-26,47,4527.0
2025-01-27,20,1858.0
2025-01-28,40,3404.0
2025-01-29,23,1952.0
2025-01-30,37,3980.0
2025-01-31,44,4139.0
2025-02-01,47,5535.0
2025-02-02,40,3831.0
2025-02-03,27,2532.0
2025-02-04,38,3312.0
2025-02-05,30,2240.0
2025-02-06,57,6028.0
2025-02-07,46,4520.0
2025-02-08,53,5664.0
2025-02-09,48,5206.0
2025-02-10,33,2841.0
2025-02-11,30,3067.0
2025-02-12,30,2330.0
2025-02-13,43,4383.0
2025-02-14,38,3622.0
2025-02-15,48,5348.5
2025-02-16,42,4250.0
2025-02-17,22,2045.0
2025-02-18,31,3292.0
2025-02-19,22,2055.0
2025-02-20,55,5773.0
2025-02-21,36,3147.0
2025-02-22,39,4757.0
2025-02-23,49,5269.0
2025-02-24,24,2161.0
2025-02-25,42,4174.0
2025-02-26,28,2415.0
2025-02-27,50,5599.0
2025-02-28,35,2751.0
2025-03-01,46,5236.0
2025-03-02,47,4799.0
2025-03-03,27,1914.0
2025-03-04,36,3197.0
2025-03-05,23,2226.0
2025-03-06,36,4056.0
2025-03-07,28,2383.0
2025-03-08,10,1034.0
2025-03-09,34,3020.0
2025-03-10,14,900.0
2025-03-11,41,4043.0
2025-03-12,21,1281.0
2025-03-13,33,3926.0
2025-03-14,30,2641.0
2025-03-15,39,4633.0
2025-03-16,37,3285.0
2025-03-17,23,1764.0
2025-03-18,22,2185.0
2025-03-19,25,2358.0
2025-03-20,35,3985.0
2025-03-21,25,1925.0
2025-03-22,16,1899.0
2025-03-23,44,4398.0
2025-03-24,18,1399.0
2025-03-25,26,2763.0
