Datum,Celkový počet,Tržba
2024-01-01,12,1452.0
2024-01-02,41,4523.0
2024-01-03,39,3650.0
2024-01-04,50,5557.0
2024-01-05,59,5666.0
2024-01-06,52,5652.0
2024-01-07,51,4719.0
2024-01-08,28,2616.0
2024-01-09,33,3242.0
2024-01-10,40,3821.0
2024-01-11,46,5000.0
2024-01-12,50,4724.0
2024-01-13,41,4826.0
2024-01-14,48,4967.0
2024-01-15,22,2147.0
2024-01-16,25,2520.0
2024-01-17,28,2387.0
2024-01-18,22,2712.0
2024-01-19,46,4437.0
2024-01-20,42,4860.0
2024-01-21,49,5113.0
2024-01-22,24,2162.0
2024-01-23,30,2361.0
2024-01-24,35,3487.0
2024-01-25,49,5362.0
2024-01-26,41,3965.0
2024-01-27,36,4355.0
2024-01-28,61,6242.0
2024-01-29,34,3172.0
2024-01-30,44,4460.0
2024-01-31,26,2216.0
2024-02-01,40,4307.0
2024-02-02,41,3797.0
2024-02-03,45,5217.0
2024-02-04,39,3667.0
2024-02-05,27,2511.0
2024-02-06,54,4844.0
2024-02-07,27,2678.0
2024-02-08,44,5414.0
2024-02-09,48,4828.0
2024-02-10,42,5099.0
2024-02-11,37,3633.0
2024-02-12,36,3114.0
2024-02-13,42,3768.0
2024-02-14,28,2523.0
2024-02-15,40,4466.0
2024-02-16,34,3039.0
2024-02-17,47,4950.0
2024-02-18,43,4011.0
2024-02-19,31,2669.0
2024-02-20,37,3292.0
2024-02-21,31,2513.0
2024-02-22,41,4547.0
2024-02-23,43,4040.0
2024-02-24,23,2415.0
2024-02-25,48,4650.0
2024-02-26,31,2571.0
2024-02-27,35,3397.0
2024-02-28,34,2976.0
2024-02-29,35,3861.0
2024-03-01,39,3737.0
2024-03-02,29,3269.0
2024-03-03,42,4386.0
2024-03-04,12,986.0
2024-03-05,29,2541.0
2024-03-06,17,1462.0
2024-03-07,36,3641.0
2024-03-08,32,3090.0
2024-03-09,31,3709.0
2024-03-10,32,3178.0
2024-03-11,27,2662.0
2024-03-12,33,3281.0
2024-03-13,21,1978.0
2024-03-14,43,4844.0
2024-03-15,43,4168.0
2024-03-16,26,2631.0
2024-03-17,51,4563.0
2024-03-18,23,2274.0
2024-03-19,31,3018.0
2024-03-20,21,1399.0
2024-03-21,35,4109.0
2024-03-22,30,2827.0
2024-03-23,29,3481.0
2024-03-24,42,3945.0
