Datum,Celkový počet,Tržba
2024-05-26,14,1080.0
2024-05-27,3,90.0
2024-05-28,,
2024-05-29,5,346.0
2024-05-30,7,500.0
2024-05-31,,
2024-06-01,,
2024-06-02,13,1020.0
2024-06-03,,
2024-06-04,5,290.0
2024-06-05,1,50.0
2024-06-06,4,350.0
2024-06-07,32,2850.0
2024-06-08,265,21500.0
2024-06-09,97,7560.0
2024-06-10,64,4150.0
2024-06-11,,
2024-06-12,19,780.0
2024-06-13,12,670.0
2024-06-14,16,720.0
2024-06-15,31,1760.0
2024-06-16,231,18000.0
2024-06-17,15,910.0
2024-06-18,590,46910.0
2024-06-19,12,790.0
2024-06-20,31,2670.0
2024-06-21,320,25780.0
2024-06-22,147,11860.0
2024-06-23,283,23000.0
2024-06-24,216,15930.0
2024-06-25,694,52910.0
2024-06-26,1016,80980.0
2024-06-27,824,66200.0
2024-06-28,435,34825.0
2024-06-29,2453,201200.0
2024-06-30,672,54350.0
2024-07-01,35,2440.0
2024-07-02,,
2024-07-03,9,340.0
2024-07-04,7,410.0
2024-07-05,6,400.0
2024-07-06,1269,107330.0
2024-07-07,18,1590.0
2024-07-08,565,42660.0
2024-07-09,2070,165386.0
2024-07-10,879,68442.0
2024-07-11,285,19220.0
2024-07-12,309,22411.0
2024-07-13,158,10500.0
2024-07-14,769,64191.0
2024-07-15,1809,143842.0
2024-07-16,233,16634.0
2024-07-17,584,42990.0
2024-07-18,831,61865.0
2024-07-19,1223,94970.0
2024-07-20,1353,113950.0
2024-07-21,2593,224200.0
2024-07-22,138,9020.0
2024-07-23,545,38807.0
2024-07-24,73,4700.0
2024-07-25,239,16390.0
2024-07-26,298,20531.0
2024-07-27,437,31960.0
2024-07-28,137,8950.0
2024-07-29,283,21105.0
2024-07-30,958,77200.0
2024-07-31,2043,165740.0
2024-08-01,634,49470.0
2024-08-02,15,930.0
2024-08-03,91,6760.0
2024-08-04,55,3690.0
2024-08-05,54,3540.0
2024-08-06,473,35970.0
2024-08-07,1054,81430.0
2024-08-08,25,1800.0
2024-08-09,196,13930.0
2024-08-10,802,66920.0
2024-08-11,814,68240.0
2024-08-12,1202,92370.0
2024-08-13,2291,184450.0
2024-08-14,1706,134425.0
2024-08-15,432,31120.0
2024-08-16,1370,103980.0
2024-08-17,591,45270.0
2024-08-18,199,14220.0
2024-08-19,36,2460.0
2024-08-20,297,21930.0
2024-08-21,129,8870.0
2024-08-22,76,4560.0
2024-08-23,492,37485.0
2024-08-24,1555,128680.0
2024-08-25,22,1760.0
2024-08-26,84,5770.0
2024-08-27,265,18060.0
2024-08-28,786,59070.0
2024-08-29,1284,100720.0
2024-08-30,915,69820.0
2024-08-31,212,15050.0
2024-09-01,688,54875.0
2024-09-02,481,34842.0
2024-09-03,613,46030.0
2024-09-04,1067,80462.0
2024-09-05,662,48610.0
2024-09-06,573,40958.0
2024-09-07,825,65490.0
2024-09-08,1068,82200.0
2024-09-09,5,200.0
2024-09-10,1,0.0
2024-09-11,1,0.0
2024-09-12,1,50.0
2024-09-13,,
2024-09-14,,
2024-09-15,,
2024-09-16,,
2024-09-17,,
2024-09-18,7,270.0
2024-09-19,7,380.0
2024-09-20,7,320.0
2024-09-21,12,960.0
2024-09-22,13,970.0
