Datum,Celkový počet,Tržba
2025-01-01,1,96.0
2025-01-02,2,336.0
2025-01-03,4,690.0
2025-01-04,3,432.0
2025-01-05,2,270.0
2025-01-06,4,660.0
2025-01-07,2,240.0
2025-01-08,5,906.0
2025-01-09,4,588.0
2025-01-10,5,960.0
2025-01-11,7,900.0
2025-01-12,5,648.0
2025-01-13,5,624.0
2025-01-14,2,204.0
2025-01-15,4,516.0
2025-01-16,5,744.0
2025-01-17,4,600.0
2025-01-18,4,510.0
2025-01-19,2,306.0
2025-01-20,7,936.0
2025-01-21,9,1183.2
2025-01-22,5,792.0
2025-01-23,4,483.6
2025-01-24,4,672.0
2025-01-25,6,930.0
2025-01-26,9,1308.0
2025-01-27,5,750.0
2025-01-28,6,1099.2
2025-01-29,1,180.0
2025-01-30,7,786.0
2025-01-31,4,585.6
2025-02-01,2,174.0
2025-02-02,8,1146.0
2025-02-03,4,546.0
2025-02-04,2,480.0
2025-02-05,3,300.0
2025-02-06,3,540.0
2025-02-07,4,480.0
2025-02-08,5,660.0
2025-02-09,3,408.0
2025-02-10,6,792.0
2025-02-11,2,306.0
2025-02-12,8,1110.0
2025-02-13,8,1218.0
2025-02-14,6,720.0
2025-02-15,5,648.0
2025-02-16,6,1034.4
2025-02-17,4,564.0
2025-02-18,10,1326.0
2025-02-19,10,1611.6
2025-02-20,10,1506.0
2025-02-21,9,1173.6
2025-02-22,4,648.0
2025-02-23,10,1329.6
2025-02-24,2,270.0
2025-02-25,9,1215.6
2025-02-26,7,993.6
2025-02-27,7,924.0
2025-02-28,4,669.6
2025-03-01,4,582.0
2025-03-02,3,390.0
2025-03-03,3,450.0
2025-03-04,8,1184.4
2025-03-05,5,867.6
2025-03-06,4,684.0
2025-03-07,4,720.0
2025-03-08,3,636.0
2025-03-09,7,816.0
2025-03-10,3,528.0
2025-03-11,4,318.0
2025-03-12,4,660.0
2025-03-13,6,723.6
2025-03-14,3,324.0
2025-03-15,3,276.0
2025-03-16,9,1110.0
2025-03-17,3,486.0
2025-03-18,9,1272.0
2025-03-19,3,519.6
2025-03-20,5,726.0
2025-03-21,,
2025-03-22,7,1020.0
2025-03-23,6,661.2
2025-03-24,2,324.0
2025-03-25,6,907.2
2025-03-26,5,804.0
2025-03-27,7,1081.2
2025-03-28,7,828.0
2025-03-29,5,852.0
2025-03-30,5,609.6
2025-03-31,6,966.0
2025-04-01,8,804.0
2025-04-02,10,1267.2
2025-04-03,6,717.6
2025-04-04,4,552.0
2025-04-05,4,504.0
2025-04-06,8,1053.6
2025-04-07,8,1219.2
2025-04-08,7,1170.0
2025-04-09,7,747.6
2025-04-10,4,553.2
2025-04-11,10,1320.0
2025-04-12,5,654.0
2025-04-13,8,1053.6
2025-04-14,9,1129.2
2025-04-15,5,639.6
2025-04-16,4,505.2
2025-04-17,2,300.0
2025-04-18,6,774.0
2025-04-19,5,643.2
2025-04-20,8,1188.0
2025-04-21,4,438.0
2025-04-22,7,1056.0
2025-04-23,5,720.0
2025-04-24,15,2211.6
2025-04-25,6,852.0
2025-04-26,3,450.0
2025-04-27,2,302.4
2025-04-28,7,1290.0
2025-04-29,3,480.0
2025-04-30,1,90.0
