Datum,Celkový počet,Tržba
2023-01-01,13,900.0
2023-01-02,31,1630.0
2023-01-03,58,3620.0
2023-01-04,43,2720.0
2023-01-05,44,2910.0
2023-01-06,39,2440.0
2023-01-07,34,2350.0
2023-01-08,31,1500.0
2023-01-09,49,3290.0
2023-01-10,47,3370.0
2023-01-11,63,4120.0
2023-01-12,33,2030.0
2023-01-13,36,2390.0
2023-01-14,28,1590.0
2023-01-15,43,2740.0
2023-01-16,42,3480.0
2023-01-17,44,2360.0
2023-01-18,45,3040.0
2023-01-19,60,4430.0
2023-01-20,34,2000.0
2023-01-21,38,2700.0
2023-01-22,37,1650.0
2023-01-23,52,3070.0
2023-01-24,54,3650.0
2023-01-25,51,3240.0
2023-01-26,50,2910.0
2023-01-27,42,2670.0
2023-01-28,38,2010.0
2023-01-29,50,3250.0
2023-01-30,57,3810.0
2023-01-31,41,2440.0
2023-02-01,70,4840.0
2023-02-02,57,3170.0
2023-02-03,63,4110.0
2023-02-04,52,3990.0
2023-02-05,42,2130.0
2023-02-06,50,3250.0
2023-02-07,63,3720.0
2023-02-08,50,2760.0
2023-02-09,67,3120.0
2023-02-10,45,3060.0
2023-02-11,36,1890.0
2023-02-12,43,2320.0
2023-02-13,51,2930.0
2023-02-14,46,2330.0
2023-02-15,65,4460.0
2023-02-16,56,3840.0
2023-02-17,44,2820.0
2023-02-18,31,1810.0
2023-02-19,42,2340.0
2023-02-20,51,2880.0
2023-02-21,47,2870.0
2023-02-22,54,2770.0
2023-02-23,41,2500.0
2023-02-24,41,2630.0
2023-02-25,33,1660.0
2023-02-26,41,2550.0
2023-02-27,39,2330.0
2023-02-28,47,2270.0
2023-03-01,59,3910.0
2023-03-02,43,1870.0
2023-03-03,41,2380.0
2023-03-04,29,1600.0
2023-03-05,42,2180.0
2023-03-06,43,2950.0
2023-03-07,70,3990.0
2023-03-08,53,3180.0
2023-03-09,53,2670.0
2023-03-10,42,2540.0
2023-03-11,43,2130.0
2023-03-12,28,1420.0
2023-03-13,48,2840.0
2023-03-14,61,3250.0
2023-03-15,58,2980.0
2023-03-16,47,2210.0
2023-03-17,46,2090.0
2023-03-18,29,1670.0
2023-03-19,35,1450.0
2023-03-20,41,2050.0
2023-03-21,62,3510.0
2023-03-22,51,2490.0
2023-03-23,41,2040.0
2023-03-24,28,1520.0
2023-03-25,27,1330.0
2023-03-26,34,1530.0
2023-03-27,57,2700.0
2023-03-28,60,3280.0
2023-03-29,44,1720.0
2023-03-30,47,2440.0
2023-03-31,53,2840.0
2023-04-01,35,1990.0
2023-04-02,46,2010.0
2023-04-03,46,2460.0
2023-04-04,60,3180.0
2023-04-05,59,3370.0
2023-04-06,58,2890.0
2023-04-07,42,2160.0
2023-04-08,32,1420.0
2023-04-09,33,1350.0
2023-04-10,17,270.0
2023-04-11,53,3000.0
2023-04-12,63,3330.0
2023-04-13,43,1560.0
2023-04-14,55,3100.0
2023-04-15,38,2010.0
2023-04-16,46,2430.0
2023-04-17,44,2560.0
2023-04-18,63,3380.0
2023-04-19,70,3770.0
2023-04-20,56,3210.0
2023-04-21,38,1890.0
2023-04-22,27,790.0
2023-04-23,47,2680.0
2023-04-24,42,2140.0
2023-04-25,51,2860.0
2023-04-26,54,3460.0
2023-04-27,57,3140.0
2023-04-28,39,1940.0
2023-04-29,32,1130.0
2023-04-30,31,1390.0
2023-05-01,16,460.0
2023-05-02,53,1800.0
2023-05-03,44,2020.0
2023-05-04,48,2210.0
2023-05-05,29,900.0
2023-05-06,28,1100.0
2023-05-07,36,1870.0
2023-05-08,27,1040.0
2023-05-09,45,2360.0
2023-05-10,33,1260.0
2023-05-11,51,2620.0
2023-05-12,45,2000.0
2023-05-13,22,870.0
2023-05-14,33,1350.0
2023-05-15,42,2450.0
2023-05-16,56,3020.0
2023-05-17,60,3930.0
2023-05-18,46,2500.0
2023-05-19,38,2120.0
2023-05-20,27,1350.0
2023-05-21,32,1570.0
2023-05-22,38,2110.0
2023-05-23,51,2680.0
2023-05-24,51,3350.0
2023-05-25,47,2570.0
2023-05-26,37,2680.0
2023-05-27,29,1560.0
2023-05-28,27,960.0
2023-05-29,35,1810.0
2023-05-30,36,1760.0
2023-05-31,43,2280.0
2023-06-01,44,2370.0
2023-06-02,38,1520.0
2023-06-03,24,1080.0
2023-06-04,31,950.0
2023-06-05,37,1860.0
2023-06-06,46,2150.0
2023-06-07,46,2280.0
2023-06-08,47,2360.0
2023-06-09,39,1830.0
2023-06-10,37,2400.0
2023-06-11,23,840.0
2023-06-12,42,1820.0
2023-06-13,49,2940.0
2023-06-14,54,3040.0
2023-06-15,47,2590.0
2023-06-16,35,1920.0
2023-06-17,23,940.0
2023-06-18,32,1700.0
2023-06-19,41,1760.0
2023-06-20,38,1550.0
2023-06-21,25,940.0
2023-06-22,24,1180.0
2023-06-23,34,1960.0
2023-06-24,21,1210.0
2023-06-25,35,1740.0
2023-06-26,28,1710.0
2023-06-27,43,2240.0
2023-06-28,38,1830.0
2023-06-29,31,1940.0
2023-06-30,34,1720.0
2023-07-01,28,1420.0
2023-07-02,31,1580.0
2023-07-03,45,2430.0
2023-07-04,34,2370.0
2023-07-05,25,1580.0
2023-07-06,42,1770.0
2023-07-07,29,1220.0
2023-07-08,28,1750.0
2023-07-09,36,1720.0
2023-07-10,48,2940.0
2023-07-11,45,2040.0
2023-07-12,44,2510.0
2023-07-13,40,2120.0
2023-07-14,33,1700.0
2023-07-15,20,1230.0
2023-07-16,44,2120.0
2023-07-17,38,2540.0
2023-07-18,,
2023-07-19,,
2023-07-20,,
2023-07-21,,
2023-07-22,,
2023-07-23,,
2023-07-24,35,2210.0
2023-07-25,26,1490.0
2023-07-26,32,2030.0
2023-07-27,28,1640.0
2023-07-28,24,1410.0
2023-07-29,30,1720.0
2023-07-30,6,180.0
2023-07-31,24,1130.0
2023-08-01,43,2620.0
2023-08-02,41,2690.0
2023-08-03,34,2430.0
2023-08-04,44,2260.0
2023-08-05,21,1290.0
2023-08-06,52,3090.0
2023-08-07,35,1550.0
2023-08-08,35,2060.0
2023-08-09,54,2980.0
2023-08-10,27,1610.0
2023-08-11,36,2300.0
2023-08-12,38,2210.0
2023-08-13,21,690.0
2023-08-14,37,2470.0
2023-08-15,52,3300.0
2023-08-16,41,2320.0
2023-08-17,46,2500.0
2023-08-18,31,1360.0
2023-08-19,30,1610.0
2023-08-20,15,610.0
2023-08-21,38,1920.0
2023-08-22,39,1920.0
2023-08-23,42,2470.0
2023-08-24,37,2300.0
2023-08-25,34,2030.0
2023-08-26,20,660.0
2023-08-27,27,1860.0
2023-08-28,50,3180.0
2023-08-29,46,2720.0
2023-08-30,53,2870.0
2023-08-31,31,1880.0
2023-09-01,40,2350.0
2023-09-02,23,930.0
2023-09-03,32,1650.0
2023-09-04,30,1590.0
2023-09-05,46,2350.0
2023-09-06,33,1990.0
2023-09-07,26,1110.0
2023-09-08,36,1940.0
2023-09-09,23,660.0
2023-09-10,27,930.0
2023-09-11,34,1540.0
2023-09-12,33,1260.0
2023-09-13,57,3380.0
2023-09-14,36,1570.0
2023-09-15,45,2240.0
2023-09-16,23,830.0
2023-09-17,37,1560.0
2023-09-18,39,1810.0
2023-09-19,33,1430.0
2023-09-20,37,2080.0
2023-09-21,45,2180.0
2023-09-22,34,1500.0
2023-09-23,30,1040.0
2023-09-24,24,1020.0
2023-09-25,49,3030.0
2023-09-26,35,1660.0
2023-09-27,38,2030.0
2023-09-28,28,1680.0
2023-09-29,35,1610.0
2023-09-30,17,940.0
2023-10-01,26,1480.0
2023-10-02,31,1560.0
2023-10-03,50,3270.0
2023-10-04,44,2500.0
2023-10-05,42,2410.0
2023-10-06,33,1690.0
2023-10-07,22,1100.0
2023-10-08,30,1180.0
2023-10-09,42,2310.0
2023-10-10,54,2230.0
2023-10-11,37,2170.0
2023-10-12,43,2280.0
2023-10-13,39,1710.0
2023-10-14,27,1200.0
2023-10-15,23,1030.0
2023-10-16,44,2090.0
2023-10-17,32,1580.0
2023-10-18,48,2530.0
2023-10-19,40,2380.0
2023-10-20,41,1780.0
2023-10-21,25,1130.0
2023-10-22,31,1860.0
2023-10-23,38,2040.0
2023-10-24,50,2610.0
2023-10-25,39,1730.0
2023-10-26,44,2890.0
2023-10-27,40,1760.0
2023-10-28,25,1750.0
2023-10-29,22,1320.0
2023-10-30,41,2290.0
2023-10-31,54,3040.0
2023-11-01,40,2350.0
2023-11-02,42,1930.0
2023-11-03,39,1870.0
2023-11-04,30,1540.0
2023-11-05,31,1580.0
2023-11-06,28,1440.0
2023-11-07,52,2436.0
2023-11-08,38,2200.0
2023-11-09,34,1835.0
2023-11-10,26,1280.0
2023-11-11,27,1350.0
2023-11-12,25,920.0
2023-11-13,41,2560.0
2023-11-14,38,1810.0
2023-11-15,44,2365.0
2023-11-16,42,1770.0
2023-11-17,25,640.0
2023-11-18,31,1275.0
2023-11-19,34,1645.0
2023-11-20,45,2530.0
2023-11-21,55,2736.0
2023-11-22,44,2225.0
