Datum,Celkový počet,Tržba
2025-01-01,206,16865.0
2025-01-02,459,37876.0
2025-01-03,463,37749.0
2025-01-04,497,41870.0
2025-01-05,478,41726.0
2025-01-06,229,18307.0
2025-01-07,358,28992.0
2025-01-08,448,35614.0
2025-01-09,405,33130.0
2025-01-10,412,32898.0
2025-01-11,411,33814.0
2025-01-12,561,46750.0
2025-01-13,268,20887.0
2025-01-14,392,29637.0
2025-01-15,378,30770.0
2025-01-16,360,28171.0
2025-01-17,389,29794.0
2025-01-18,510,40360.0
2025-01-19,522,44896.0
2025-01-20,253,18438.0
2025-01-21,377,28390.0
2025-01-22,457,35554.0
2025-01-23,374,29670.0
2025-01-24,368,28323.0
2025-01-25,433,36081.0
2025-01-26,574,47255.0
2025-01-27,284,22443.0
2025-01-28,348,27865.0
2025-01-29,375,29783.0
2025-01-30,390,29697.0
2025-01-31,365,28483.0
2025-02-01,466,36574.0
2025-02-02,569,45654.0
2025-02-03,238,17348.0
2025-02-04,333,23899.0
2025-02-05,444,32460.0
2025-02-06,418,29149.0
2025-02-07,409,30586.0
2025-02-08,454,37107.0
2025-02-09,467,37900.0
2025-02-10,259,18718.0
2025-02-11,394,25967.0
2025-02-12,391,28243.0
2025-02-13,321,22725.0
2025-02-14,328,23238.0
2025-02-15,414,32431.0
2025-02-16,474,39180.0
2025-02-17,274,20168.0
2025-02-18,375,28764.0
2025-02-19,375,26763.0
2025-02-20,355,25357.0
2025-02-21,370,27376.0
2025-02-22,387,31708.0
2025-02-23,490,41188.0
2025-02-24,298,23311.0
2025-02-25,415,30160.0
2025-02-26,415,30317.0
2025-02-27,398,28846.0
2025-02-28,404,28895.0
2025-03-01,471,39035.0
2025-03-02,537,45353.0
2025-03-03,257,19402.0
2025-03-04,318,24231.0
2025-03-05,401,30235.0
2025-03-06,333,25507.0
2025-03-07,364,27746.0
2025-03-08,306,24521.0
2025-03-09,363,28695.0
2025-03-10,234,16490.0
2025-03-11,349,26541.0
2025-03-12,359,25858.0
2025-03-13,306,22522.0
2025-03-14,417,32174.0
2025-03-15,392,31779.0
2025-03-16,469,37694.0
2025-03-17,271,20201.0
2025-03-18,352,24219.0
2025-03-19,409,31149.0
2025-03-20,339,24219.0
2025-03-21,372,27950.0
2025-03-22,311,25289.0
2025-03-23,519,41088.0
2025-03-24,278,20818.0
2025-03-25,409,30858.0
2025-03-26,425,32423.0
2025-03-27,213,14533.0
2025-03-28,17,938.0
2025-03-29,,
2025-03-30,258,23675.0
2025-03-31,310,23555.0
2025-04-01,341,25852.0
2025-04-02,358,25802.0
2025-04-03,292,20807.0
2025-04-04,316,24734.0
2025-04-05,366,29672.0
2025-04-06,522,42112.0
2025-04-07,219,17051.0
2025-04-08,345,24699.0
2025-04-09,334,24800.0
2025-04-10,296,22568.0
2025-04-11,317,23697.0
2025-04-12,262,20727.0
2025-04-13,406,33133.0
2025-04-14,227,16248.0
2025-04-15,310,22842.0
2025-04-16,339,25301.0
2025-04-17,53,3059.0
2025-04-18,,
2025-04-19,374,28888.0
2025-04-20,299,23505.0
2025-04-21,229,18551.0
2025-04-22,301,22537.0
2025-04-23,268,20036.0
2025-04-24,370,27028.0
2025-04-25,373,28384.0
2025-04-26,53,3487.0
