Datum,Celkový počet,Tržba
2023-04-19,1,30.0
2023-04-20,,
2023-04-21,,
2023-04-22,,
2023-04-23,,
2023-04-24,,
2023-04-25,,
2023-04-26,,
2023-04-27,,
2023-04-28,,
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,,
2023-05-05,,
2023-05-06,,
2023-05-07,,
2023-05-08,,
2023-05-09,,
2023-05-10,,
2023-05-11,,
2023-05-12,,
2023-05-13,,
2023-05-14,,
2023-05-15,,
2023-05-16,,
2023-05-17,,
2023-05-18,,
2023-05-19,,
2023-05-20,,
2023-05-21,,
2023-05-22,,
2023-05-23,,
2023-05-24,,
2023-05-25,,
2023-05-26,,
2023-05-27,,
2023-05-28,,
2023-05-29,,
2023-05-30,,
2023-05-31,,
2023-06-01,348,19592.0
2023-06-02,35,2454.0
2023-06-03,160,12965.0
2023-06-04,433,39207.0
2023-06-05,38,2412.0
2023-06-06,2,80.0
2023-06-07,13,450.0
2023-06-08,22,1371.0
2023-06-09,82,4719.0
2023-06-10,129,10055.0
2023-06-11,716,61992.0
2023-06-12,172,14480.0
2023-06-13,21,1581.0
2023-06-14,20,1504.0
2023-06-15,18,831.0
2023-06-16,15,731.0
2023-06-17,37,2712.0
2023-06-18,534,47318.0
2023-06-19,151,12148.0
2023-06-20,280,21417.0
2023-06-21,601,47759.0
2023-06-22,846,70983.0
2023-06-23,44,3162.0
2023-06-24,281,23168.0
2023-06-25,833,68346.0
2023-06-26,984,82734.0
2023-06-27,15,662.0
2023-06-28,40,2532.0
2023-06-29,356,29903.0
2023-06-30,34,2080.0
2023-07-01,232,19249.0
2023-07-02,117,8725.0
2023-07-03,132,9424.0
2023-07-04,408,29796.0
2023-07-05,222,16865.0
2023-07-06,596,50211.0
2023-07-07,1124,93403.0
2023-07-08,2186,194751.0
2023-07-09,2617,232786.0
2023-07-10,310,24874.0
2023-07-11,1343,110292.0
2023-07-12,427,32738.0
2023-07-13,377,28079.0
2023-07-14,640,49173.0
2023-07-15,3217,282117.0
2023-07-16,410,33593.0
2023-07-17,535,41937.0
2023-07-18,869,68682.0
2023-07-19,542,41614.0
2023-07-20,72,4401.0
2023-07-21,58,3712.0
2023-07-22,137,9902.0
2023-07-23,465,37946.0
2023-07-24,192,13790.0
2023-07-25,32,1810.0
2023-07-26,16,640.0
2023-07-27,27,1940.0
2023-07-28,70,4320.0
2023-07-29,128,8660.0
2023-07-30,72,4970.0
2023-07-31,22,1060.0
2023-08-01,19,1130.0
2023-08-02,19,890.0
2023-08-03,141,9110.0
2023-08-04,42,2290.0
2023-08-05,11,570.0
2023-08-06,26,1460.0
2023-08-07,5,350.0
2023-08-08,12,430.0
2023-08-09,29,1450.0
2023-08-10,89,5830.0
2023-08-11,411,30930.0
2023-08-12,1029,86020.0
2023-08-13,708,58820.0
2023-08-14,944,74750.0
2023-08-15,1834,149190.0
2023-08-16,490,34780.0
2023-08-17,995,73210.0
2023-08-18,1061,73920.0
2023-08-19,2591,192360.0
2023-08-20,1424,108250.0
2023-08-21,1080,79810.0
2023-08-22,1364,100340.0
2023-08-23,1240,86400.0
2023-08-24,1052,72530.0
2023-08-25,727,53680.0
2023-08-26,298,12120.0
2023-08-27,21,950.0
2023-08-28,4,200.0
2023-08-29,11,450.0
2023-08-30,20,670.0
2023-08-31,22,740.0
2023-09-01,28,1020.0
2023-09-02,74,3190.0
2023-09-03,46,1840.0
2023-09-04,130,4900.0
2023-09-05,286,10900.0
2023-09-06,504,18760.0
2023-09-07,698,26650.0
2023-09-08,861,34190.0
2023-09-09,1577,63720.0
2023-09-10,1839,75240.0
2023-09-11,1016,38590.0
2023-09-12,959,36050.0
2023-09-13,49,1880.0
2023-09-14,17,690.0
2023-09-15,73,2730.0
2023-09-16,282,10830.0
2023-09-17,763,29690.0
2023-09-18,300,11520.0
2023-09-19,34,1280.0
2023-09-20,143,5440.0
