Datum,Celkový počet,Tržba
2025-01-01,11,680.0
2025-01-02,18,820.0
2025-01-03,25,1580.0
2025-01-04,17,1030.0
2025-01-05,22,1160.0
2025-01-06,10,470.0
2025-01-07,7,430.0
2025-01-08,11,440.0
2025-01-09,18,1030.0
2025-01-10,14,810.0
2025-01-11,11,690.0
2025-01-12,9,950.0
2025-01-13,14,450.0
2025-01-14,15,720.0
2025-01-15,13,1010.0
2025-01-16,7,300.0
2025-01-17,26,1210.0
2025-01-18,14,900.0
2025-01-19,10,780.0
2025-01-20,3,260.0
2025-01-21,4,330.0
2025-01-22,13,710.0
2025-01-23,10,430.0
2025-01-24,12,830.0
2025-01-25,3,200.0
2025-01-26,3,300.0
2025-01-27,11,460.0
2025-01-28,12,440.0
2025-01-29,5,150.0
2025-01-30,14,550.0
2025-01-31,18,910.0
2025-02-01,19,690.0
2025-02-02,9,600.0
2025-02-03,8,400.0
2025-02-04,6,280.0
2025-02-05,13,580.0
2025-02-06,16,610.0
2025-02-07,15,1060.0
2025-02-08,7,500.0
2025-02-09,16,1110.0
2025-02-10,11,460.0
2025-02-11,14,670.0
2025-02-12,1,50.0
2025-02-13,4,200.0
2025-02-14,17,730.0
2025-02-15,18,1160.0
2025-02-16,12,550.0
2025-02-17,6,250.0
2025-02-18,5,190.0
2025-02-19,20,940.0
2025-02-20,17,900.0
2025-02-21,10,550.0
2025-02-22,7,400.0
2025-02-23,15,950.0
2025-02-24,11,270.0
2025-02-25,14,580.0
2025-02-26,5,350.0
2025-02-27,5,180.0
2025-02-28,28,1270.0
2025-03-01,11,490.0
2025-03-02,17,850.0
2025-03-03,18,620.0
2025-03-04,6,280.0
2025-03-05,16,770.0
2025-03-06,21,1200.0
2025-03-07,14,770.0
2025-03-08,19,1490.0
2025-03-09,27,1320.0
2025-03-10,23,1380.0
2025-03-11,12,380.0
2025-03-12,7,560.0
2025-03-13,11,420.0
2025-03-14,9,460.0
2025-03-15,9,450.0
2025-03-16,10,430.0
2025-03-17,5,110.0
2025-03-18,10,440.0
2025-03-19,13,800.0
2025-03-20,17,790.0
2025-03-21,18,1510.0
2025-03-22,13,430.0
2025-03-23,4,350.0
2025-03-24,10,400.0
2025-03-25,8,410.0
2025-03-26,9,590.0
2025-03-27,10,650.0
2025-03-28,15,1020.0
2025-03-29,17,930.0
2025-03-30,64,3980.0
2025-03-31,6,410.0
2025-04-01,6,250.0
2025-04-02,17,710.0
2025-04-03,24,1280.0
2025-04-04,36,2420.0
2025-04-05,10,700.0
2025-04-06,15,870.0
2025-04-07,6,140.0
2025-04-08,14,620.0
2025-04-09,9,610.0
2025-04-10,10,380.0
2025-04-11,19,955.0
2025-04-12,33,1410.0
2025-04-13,36,1940.0
2025-04-14,15,590.0
2025-04-15,7,420.0
2025-04-16,34,1920.0
2025-04-17,54,3610.0
2025-04-18,4,280.0
2025-04-19,7,210.0
2025-04-20,16,1180.0
2025-04-21,14,680.0
2025-04-22,21,930.0
2025-04-23,11,570.0
2025-04-24,12,330.0
2025-04-25,17,810.0
2025-04-26,18,702.0
2025-04-27,29,1446.0
2025-04-28,20,638.0
2025-04-29,40,1274.0
