13.12.2023,275,"21.017,00"
14.12.2023,241,"17.951,00"
15.12.2023,259,"19.555,00"
16.12.2023,237,"19.611,00"
17.12.2023,266,"22.143,00"
18.12.2023,189,"15.005,00"
19.12.2023,151,"10.642,00"
20.12.2023,274,"21.077,00"
21.12.2023,242,"19.045,00"
22.12.2023,275,"21.065,00"
23.12.2023,276,"21.673,00"
24.12.2023,0,"0,00"
25.12.2023,153,"11.916,00"
26.12.2023,293,"24.638,00"
27.12.2023,406,"32.640,00"
28.12.2023,463,"38.485,00"
29.12.2023,386,"30.721,00"
30.12.2023,479,"42.169,00"
31.12.2023,219,"16.325,00"
