datum,návštěvnost,tržba
2023-09-24,283,23908
2023-09-25,166,13062
2023-09-26,221,17357
2023-09-27,201,16374
2023-09-28,193,15322
2023-09-29,255,20000
2023-09-30,235,19550
2023-10-01,245,20365
2023-10-02,165,13267
2023-10-03,304,23212
2023-10-04,257,21154
2023-10-05,245,18618
2023-10-06,244,19567
2023-10-07,244,19630
2023-10-08,337,29350
2023-10-09,195,14111
2023-10-10,260,20536
2023-10-11,230,17854
2023-10-12,246,20019
2023-10-13,269,20611
2023-10-14,232,18579
2023-10-15,305,26016
2023-10-16,237,18683
2023-10-17,246,19305
2023-10-18,282,22356
2023-10-19,283,23669
2023-10-20,292,23997
2023-10-21,228,19147
2023-10-22,348,29400
2023-10-23,194,14243
2023-10-24,292,22263
2023-10-25,277,22513
2023-10-26,275,21345
2023-10-27,369,28387
2023-10-28,249,20738
2023-10-29,365,29498
2023-10-30,204,15597
2023-10-31,284,22050
2023-11-01,308,23612
2023-11-02,287,22630
2023-11-03,371,30749
2023-11-04,217,18211
2023-11-05,356,29156
2023-11-06,194,15380
2023-11-07,290,23687
2023-11-08,351,28504
2023-11-09,276,21133
2023-11-10,351,26886
2023-11-11,305,26770
2023-11-12,356,30287
2023-11-13,219,17130
2023-11-14,321,24613
2023-11-15,361,29785
2023-11-16,257,19343
2023-11-17,276,22685
2023-11-18,337,29175
2023-11-19,389,33337
2023-11-20,233,18354
2023-11-21,332,26648
2023-11-22,321,25931
2023-11-23,287,22669
2023-11-24,300,24276
2023-11-25,322,27680
2023-11-26,345,29867
2023-11-27,219,16702
2023-11-28,291,23659
2023-11-29,283,22907
2023-11-30,269,21447
2023-12-01,280,20796
2023-12-02,0,0
2023-12-03,108,9333
2023-12-04,197,15783
2023-12-05,252,18392
2023-12-06,272,20488
2023-12-07,235,18220
2023-12-08,281,23326
2023-12-09,263,22372
2023-12-10,327,27494
2023-12-11,206,14851
2023-12-12,266,20596
2023-12-13,275,21017
2023-12-14,241,17951
2023-12-15,259,19555
2023-12-16,237,19611
2023-12-17,266,22143
2023-12-18,189,15005
2023-12-19,151,10642
2023-12-20,274,21077
2023-12-21,242,19045
2023-12-22,275,21065
2023-12-23,276,21673
2023-12-24,0,0
2023-12-25,153,11916
2023-12-26,293,24638
2023-12-27,406,32640
2023-12-28,463,38485
2023-12-29,386,30721
2023-12-30,479,42169
2023-12-31,219,16325
2024-01-01,0,0
2024-01-02,208,15068
2024-01-03,450,39360
2024-01-04,395,31127
2024-01-05,373,30142
2024-01-06,468,37586
2024-01-07,495,42472
2024-01-08,476,41958
2024-01-09,246,20594
2024-01-10,352,29396
2024-01-11,338,28816
2024-01-12,355,29990
2024-01-13,430,35097
2024-01-14,467,41605
2024-01-15,456,43310
2024-01-16,294,24337
2024-01-17,344,30377
2024-01-18,326,24498
2024-01-19,342,28511
2024-01-20,355,29648
2024-01-21,431,38609
2024-01-22,504,44517
2024-01-23,257,20790
2024-01-24,338,27051
2024-01-25,396,33096
2024-01-26,408,33757
2024-01-27,406,32840
2024-01-28,385,33637
2024-01-29,501,44603
2024-01-30,259,21718
2024-01-31,367,30002
2024-02-01,351,28580
2024-02-02,316,25131
2024-02-03,453,36907
2024-02-04,435,36666
2024-02-05,518,45411
2024-02-06,282,22168
2024-02-07,395,30783
2024-02-08,427,34027
2024-02-09,420,32174
2024-02-10,452,36753
2024-02-11,453,37736
2024-02-12,560,50599
2024-02-13,304,23643
2024-02-14,410,31853
2024-02-15,398,30277
2024-02-16,407,29321
2024-02-17,429,34657
2024-02-18,438,38192
2024-02-19,550,46161
2024-02-20,265,18922
2024-02-21,438,32159
2024-02-22,416,32391
2024-02-23,422,32084
2024-02-24,437,35424
2024-02-25,396,33498
2024-02-26,441,36952
2024-02-27,300,23067
2024-02-28,426,29930
2024-02-29,410,29837
2024-03-01,383,27868
2024-03-02,347,28552
2024-03-03,372,31625
2024-03-04,374,31168
2024-03-05,210,17090
2024-03-06,352,28930
2024-03-07,363,27845
2024-03-08,306,26099
2024-03-09,366,29179
2024-03-10,404,34302
2024-03-11,437,36084
2024-03-12,261,20140
2024-03-13,378,30842
2024-03-14,388,31239
2024-03-15,220,15733
2024-03-16,0,0
2024-03-17,0,0
2024-03-18,210,19991
2024-03-19,267,21016
2024-03-20,352,28183
2024-03-21,337,27125
2024-03-22,312,24644
2024-03-23,298,22117
2024-03-24,317,25804
2024-03-25,446,36535
2024-03-26,292,23314
2024-03-27,314,24216
2024-03-28,349,27016
2024-03-29,317,27405
2024-03-30,250,20309
2024-03-31,318,26171
2024-04-01,289,22617
2024-04-02,128,10517
2024-04-03,254,18012
2024-04-04,332,26316
2024-04-05,299,23576
2024-04-06,247,19836
2024-04-07,305,25989
2024-04-08,433,38001
2024-04-09,221,16620
2024-04-10,295,22506
2024-04-11,305,24217
2024-04-12,279,22020
2024-04-13,271,21189
2024-04-14,314,26468
2024-04-15,361,30286
2024-04-16,248,18633
2024-04-17,284,22786
2024-04-18,317,25570
2024-04-19,312,24005
2024-04-20,331,27552
2024-04-21,425,36628
2024-04-22,402,33495
2024-04-23,222,17716
2024-04-24,286,24271
2024-04-25,334,26630
2024-04-26,305,24056
2024-04-27,296,22955
2024-04-28,265,21244
2024-04-29,337,28767
2024-04-30,230,18664
2024-05-01,266,22346
2024-05-02,282,23460
2024-05-03,277,21789
2024-05-04,222,17703
2024-05-05,0,0
2024-05-06,180,15854
2024-05-07,221,18274
2024-05-08,337,26690
2024-05-09,298,24588
2024-05-10,268,21444
2024-05-11,261,20650
2024-05-12,331,28872
2024-05-13,373,32508
2024-05-14,207,17270
2024-05-15,277,22486
2024-05-16,313,24685
2024-05-17,207,15448
2024-05-18,298,24270
2024-05-19,333,29051
2024-05-20,432,38167
2024-05-21,198,16872
2024-05-22,287,22294
2024-05-23,353,27762
2024-05-24,220,17365
2024-05-25,281,21909
2024-05-26,297,25610
2024-05-27,302,26689
2024-05-28,236,19217
2024-05-29,313,25370
2024-05-30,309,24010
2024-05-31,281,22039
2024-06-01,280,21882
2024-06-02,445,39342
2024-06-03,389,33656
2024-06-04,188,15846
2024-06-05,274,21433
2024-06-06,286,22469
2024-06-07,261,21362
2024-06-08,226,17509
2024-06-09,274,24656
2024-06-10,360,32906
2024-06-11,228,18411
2024-06-12,302,25321
2024-06-13,136,9663
2024-06-14,0,0
2024-06-15,0,0
2024-06-16,0,0
2024-06-17,0,0
2024-06-18,250,22433
2024-06-19,288,25234
2024-06-20,290,24078
2024-06-21,183,14761
2024-06-22,271,22248
2024-06-23,300,27733
2024-06-24,336,30639
2024-06-25,146,11519
2024-06-26,255,21671
2024-06-27,287,26469
2024-06-28,268,22735
2024-06-29,235,19319
2024-06-30,219,18422
2024-07-01,260,22891
2024-07-02,188,17325
